2248	1	1	4	4	3	2	4	3	4	3	3	4	3	2	1	1	3	2	4
2250	2	99	4	4	1	2	4	4	4	4	4	4	4	4	2	1	4	4	4
2252	1	1	3	2	1	1	2	1	2	2	3	3	3	1	1	1	3	4	2
2268	2	2	4	2	2	2	3	2	2	2	2	2	2	1	2	1	4	4	2
2307	3	2	3	3	3	2	3	2	2	3	2	2	2	2	3	3	3	4	2
2312	1	1	2	3	2	2	2	1	1	1	3	3	2	1	1	1	3	3	2
2317	2	2	2	3	2	3	3	1	2	2	2	1	2	2	2	3	3	3	1
2348	2	2	1	1	1	1	3	3	1	4	2	2	2	2	2	2	4	3	2
2375	1	1	2	2	3	2	2	1	1	1	3	1	1	1	1	1	2	3	2
2433	3	3	4	4	3	3	4	2	4	4	3	2	1	2	3	3	3	3	3
2444	1	1	4	2	1	2	4	4	4	2	4	1	1	1	4	1	3	3	2
2455	2	2	2	2	1	3	2	3	2	3	3	1	1	1	2	1	3	3	2
2512	1	1	1	1	1	1	2	2	3	1	2	2	1	1	1	1	4	3	2
2543	2	2	2	3	1	2	3	2	2	2	2	3	2	2	2	2	3	3	2
2561	2	1	2	2	1	2	3	2	1	1	3	2	2	1	2	2	4	3	2
2588	3	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	4	4	3
2594	1	1	1	2	1	1	3	2	4	2	2	1	1	1	1	1	3	1	1
2599	2	1	2	2	1	2	4	4	4	4	3	3	4	3	2	1	3	3	2
2675	2	1	1	1	3	1	2	4	2	2	2	2	2	1	1	1	2	4	2
2678	2	3	2	3	2	2	2	1	2	2	2	2	1	1	1	2	3	4	2
2682	2	1	3	4	1	2	2	1	1	1	2	3	2	2	1	2	2	3	1
2723	2	2	4	3	3	3	3	3	4	3	3	4	1	2	1	1	2	1	1
2798	1	1	2	2	1	2	2	1	1	1	1	1	1	1	1	1	3	3	2
2814	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	2
2832	4	3	2	2	4	4	2	2	2	2	4	1	1	3	4	3	4	3	2
2837	2	2	2	2	3	3	2	1	3	1	4	2	1	1	2	1	3	2	1
2863	1	1	1	2	1	4	1	1	1	1	2	1	1	1	2	1	4	4	2
2898	1	1	3	3	2	2	3	2	1	2	2	2	2	2	1	1	2	3	1
2936	2	2	1	1	1	1	2	2	2	2	2	3	3	1	1	1	3	4	2
2937	1	1	4	4	1	3	4	2	3	3	3	2	1	1	99	2	2	3	2
2955	2	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	3	3	2
2978	2	2	2	2	3	99	3	2	3	3	3	2	3	1	1	1	4	4	2
2986	2	2	4	4	1	3	3	2	1	2	4	3	1	3	2	1	3	2	3
2996	2	1	2	4	2	2	3	3	3	3	2	2	1	3	1	1	3	3	1
3032	2	2	2	2	2	2	3	2	2	2	3	2	3	1	2	2	3	4	2
3054	1	1	1	99	1	1	1	1	1	1	1	1	1	1	1	1	4	3	2
3111	1	1	2	2	2	1	2	2	2	1	2	1	2	3	1	2	3	3	2
3114	4	3	4	1	4	4	4	1	3	99	3	3	4	2	1	1	4	3	2
3119	2	1	2	2	2	3	2	1	1	3	2	1	1	1	1	1	3	4	2
3125	4	3	2	1	4	4	2	3	3	2	4	4	3	1	1	1	4	4	1
3144	1	1	1	2	1	1	2	1	2	1	1	1	1	1	2	1	2	2	3
3184	1	2	3	4	1	2	2	1	3	2	4	1	3	1	1	1	3	4	2
3210	2	2	4	4	3	4	2	3	2	2	2	2	2	2	2	2	4	4	2
3220	1	1	1	1	1	1	1	1	1	1	2	3	1	1	1	1	4	4	3
3255	2	2	2	2	1	1	2	3	3	2	1	2	1	1	1	1	4	4	2
3270	1	1	2	2	1	1	1	1	2	1	3	1	1	1	1	1	2	2	2
3291	1	1	1	2	1	4	2	3	1	1	2	2	1	1	1	3	4	4	3
3304	2	1	2	2	1	1	2	2	2	2	2	1	1	1	1	1	3	4	2
3306	2	2	2	2	3	2	4	3	2	3	4	1	1	1	3	2	3	3	2
3323	1	2	4	3	2	3	4	3	4	2	3	1	2	3	3	3	2	3	1
3341	2	2	3	2	3	2	3	3	3	3	3	99	3	2	2	2	3	3	2
