1457	16064	1	1	1	3	3	3	2.3	1	3
1467	15355	1	3	3	4	2	4	1.1	2.33333333333333	3.33333333333333
1475	15151	1	1	1	2	2	3	1.2	1	2.33333333333333
1481	8125	1	2	3	1	1	1	11.3	2	1
1488	3455	1	4	2	2	2	2	3.5	2.33333333333333	2
1489	14286	1	1	4	1	1	1	1.7	2	1
1506	6534	1	2	3	3	2	3	9.8	2	2.66666666666667
1509	16070	2	3	2	2	1	2	2.2	2.33333333333333	1.66666666666667
1515	5913	2	2	3	1	1	2	16.3	2.33333333333333	1.33333333333333
1518	5515	2	3	4	2	1	3	7.6	3	2
1522	5382	3	3	4	3	99	2	9	3.33333333333333	2.5
1535	6412	2	4	4	2	1	3	24.1	3.33333333333333	2
1545	13057	1	1	4	1	1	1	1.1	2	1
1554	8116	2	2	3	2	2	3	15.1	2.33333333333333	2.33333333333333
1558	9662	4	4	4	2	1	1	15.4	4	1.33333333333333
1559	13054	1	2	2	4	2	3	1.8	1.66666666666667	3
1563	3253	2	2	2	3	2	3	6.9	2	2.66666666666667
1568	5758	1	1	3	4	4	2	7.5	1.66666666666667	3.33333333333333
1569	3154	2	3	4	2	1	3	5.6	3	2
1575	16077	1	3	3	2	3	2	1	2.33333333333333	2.33333333333333
1579	9184	4	4	4	1	2	1	12.5	4	1.33333333333333
1584	8111	4	3	4	1	1	1	24.5	3.66666666666667	1
1587	3253	2	3	3	3	2	2	6.9	2.66666666666667	2.33333333333333
1588	9563	2	2	3	2	2	2	14.9	2.33333333333333	2
1602	9472	2	3	3	3	1	1	4	2.66666666666667	1.66666666666667
1609	6411	3	4	4	4	2	2	14.5	3.66666666666667	2.66666666666667
1619	8221	2	4	4	2	2	2	16.3	3.33333333333333	2
1635	5382	1	1	2	1	2	3	9	1.33333333333333	2
1657	5162	3	1	3	2	3	2	11.2	2.33333333333333	2.33333333333333
1663	8119	3	4	4	2	2	1	13.9	3.66666666666667	1.66666666666667
1665	3103	3	1	2	2	2	2	11.4	2	2
1666	5315	2	3	2	1	2	2	19.7	2.33333333333333	1.66666666666667
1670	12060	2	3	4	99	1	1	2.2	3	1
1675	8115	1	1	2	4	3	3	16.6	1.33333333333333	3.33333333333333
1677	7338	2	4	3	4	3	3	7.3	3	3.33333333333333
1685	5170	2	1	3	3	2	2	8.9	2	2.33333333333333
1687	8215	2	2	2	3	2	2	9.3	2	2.33333333333333
1688	9276	2	4	4	2	2	2	4.6	3.33333333333333	2
1705	5566	1	2	2	1	4	4	6	1.66666666666667	3
1706	15369	1	2	2	4	4	3	1.3	1.66666666666667	3.66666666666667
1708	9462	2	3	3	1	1	1	8.3	2.66666666666667	1
1713	5358	2	3	2	2	2	2	9.7	2.33333333333333	2
1735	13055	1	1	3	3	2	3	1.4	1.66666666666667	2.66666666666667
1745	5913	2	3	4	1	1	1	16.3	3	1
1749	9184	1	1	4	3	2	1	12.5	2	2
1761	8326	2	2	3	4	2	4	11.6	2.33333333333333	3.33333333333333
1764	9274	2	3	4	3	2	3	4.7	3	2.66666666666667
1770	14182	1	1	2	4	2	3	1.3	1.33333333333333	3
1777	5378	1	1	1	4	2	4	8.2	1	3.33333333333333
1778	5162	2	1	4	99	2	99	11.2	2.33333333333333	2
1779	5970	2	1	2	1	1	1	8.9	1.66666666666667	1
1787	8221	2	2	1	3	2	3	16.3	1.66666666666667	2.66666666666667
1788	5120	2	3	3	3	2	1	16.6	2.66666666666667	2
1807	5562	4	1	4	4	3	4	10.2	3	3.66666666666667
1813	3358	2	1	2	2	2	2	5.5	1.66666666666667	2
1827	14389	1	1	1	4	4	4	1.1	1	4
1831	5562	2	3	3	2	2	2	10.2	2.66666666666667	2
1834	5158	2	3	4	1	1	1	11.8	3	1
1839	6435	2	3	1	3	3	3	10.7	2	3
1850	14171	1	1	2	4	2	1	1	1.33333333333333	2.33333333333333
1857	14374	2	1	4	2	2	1	2.7	2.33333333333333	1.66666666666667
1861	14262	2	2	4	2	1	2	3.6	2.66666666666667	1.66666666666667
1862	3103	2	3	4	1	2	1	11.4	3	1.33333333333333
1872	5913	2	2	3	1	1	2	16.3	2.33333333333333	1.33333333333333
1881	5562	1	3	2	99	2	99	10.2	2	2
1891	14286	2	1	4	1	4	1	1.7	2.33333333333333	2
1897	6431	2	3	3	1	1	1	9.8	2.66666666666667	1
1910	14178	1	2	2	4	2	2	1.4	1.66666666666667	2.66666666666667
1913	16051	1	1	1	4	3	4	2.2	1	3.66666666666667
1919	17200	1	1	2	4	2	3	12.8	1.33333333333333	3
1934	6611	1	2	2	2	2	2	13.8	1.66666666666667	2
1935	9677	3	3	3	3	1	2	5.2	3	2
1944	12061	3	3	4	2	1	2	2.2	3.33333333333333	1.66666666666667
1946	4011	3	3	4	2	1	3	12.3	3.33333333333333	2
1947	8311	2	2	4	1	2	1	13.3	2.66666666666667	1.33333333333333
1952	2000	2	3	3	1	1	1	15.4	2.66666666666667	1
1957	8235	2	2	1	2	3	2	12.2	1.66666666666667	2.33333333333333
1973	1003	2	2	2	2	2	2	9.1	2	2
1982	3253	3	2	4	4	1	3	6.9	3	2.66666666666667
1995	3456	2	3	2	99	99	99	7.7	2.33333333333333	99
2014	12065	1	3	3	2	2	2	1.5	2.33333333333333	2
2019	5562	2	3	3	1	1	2	10.2	2.66666666666667	1.33333333333333
2026	3459	3	4	3	2	2	2	4.9	3.33333333333333	2
